date	tt	title	year	directors	stars	plot
2014-08-17	tt0970416	The Day the Earth Stood Still	2008	Scott Derrickson	Keanu Reeves,Jennifer Connelly,Kathy Bates	A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.
2014-09-01	tt1418377	I, Frankenstein	2014	Stuart Beattie	Aaron Eckhart,Yvonne Strahovski,Miranda Otto	Frankenstein's creature finds himself caught in an all-out, centuries-old war between two immortal clans.
2014-09-04	tt2828996	A Haunted House 2	2014	Michael Tiddes	Marlon Wayans,Jaime Pressly,Essence Atkins	Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.
2014-09-05	tt2243537	A Haunted House	2013	Michael Tiddes	Marlon Wayans,Marlene Forte,Essence Atkins	Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm turns to a priest, a psychic, and a team of ghostbusters for help.
2014-09-06	tt2401807	Rage	2014	Paco Cabezas	Nicolas Cage,Rachel Nichols,Max Ryan	When the daughter of a reformed criminal is kidnapped, he rounds up his old crew and seeks his own brand of justice.
2014-09-07	tt2544734	Bullet	2014	Nick Lyon	Danny Trejo,Jonathan Banks,Julia Dietze	A tough cop takes the law into his own hands when his grandson is kidnapped.
2014-09-09	tt2398249	They Came Together	2014	David Wain	Paul Rudd,Amy Poehler,Bill Hader	Molly owns a quaint little sweet shop. Joel works for a gigantic candy company threatening to shut her down. How they meet, fall in love, break up and get back together is hilariously recounted in this rom-com spoof.
2014-09-10	tt2388715	Oculus	2013	Mike Flanagan	Karen Gillan,Brenton Thwaites,Katee Sackhoff	A recently released inmate from a mental asylum learns from his sister that the murder he was convicted of committing were actually orchestrated by a supernatural entity, the Lasser Glass mirror.
2014-09-11	tt2325517	Almost Human	2013	Joe Begos	Graham Skipper,Josh Ethier,Vanessa Leigh	Mark Fisher disappeared from his home in a brilliant flash of blue light almost 2 years ago. His friend Seth Hampton was the last to see him alive. Now a string of grisly, violent murders leads Seth to believe that Mark is back, and something evil is inside of him.
2014-09-12	tt2463288	Walk of Shame	2014	Steven Brill	Elizabeth Banks,James Marsden,Gillian Jacobs	A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.
